"id","text"
"GR_OL_ML_ENG_00001","man, i'm tired"
"GR_OL_ML_ENG_00002","thirty-one years and my knees still don't believe in this job"
"GR_OL_ML_ENG_00003","[MUTTERS] that relay's gonna go before we hit dock, i can feel it"
"GR_OL_ML_ENG_00004","coffee's gone cold again. story of my life"
"GR_OL_ML_ENG_00005","[SIGHS] every ship's got a sound it makes right before it costs you money"
"GR_OL_ML_ENG_00006","back on the Kestrel we'd have had this fixed an hour ago. different crew though"
"GR_OL_ML_ENG_00007","[GRUFF] quit rattling. i see you. i hear you. i'm coming"
"GR_OL_ML_ENG_00008","nobody appreciates a good bearing until it's screaming at three in the morning"
"GR_OL_ML_ENG_00009","i've buried better tools than most people i've met"
"GR_OL_ML_ENG_00010","[DRY] the day this ship stops surprising me is the day i retire. so, never"
"GR_OL_ML_ENG_00011","that tin of bolts is forty years of ships that didn't make it. don't touch it"
"GR_OL_ML_ENG_00012","[MUTTERS] course you'd pick now to leak. course you would"
"GR_OL_ML_ENG_00013","hands ache worse than they used to. don't tell the captain"
"GR_OL_ML_ENG_00014","some days i talk to this engine more than i talked to my wife. she'd understand"
"GR_OL_ML_ENG_00015","[DEADPAN] i give it a week before something else breaks. i'm an optimist"
"GR_OL_ML_ENG_00016","quiet shift. i don't trust quiet shifts"
"GR_OL_ML_ENG_00017","[SIGHS] nothing to fix and nothing to fear. i'll take it while it lasts"
"GR_OL_ML_ENG_00018","used to hate the quiet. now i know it's just the ship holding its breath"
"GR_OL_ML_ENG_00019","food's the same as yesterday. i'm not complaining, i'm just noting it"
"GR_OL_ML_ENG_00020","eat while it's hot. learned that lesson the hard way more than once"
"GR_OL_ML_ENG_00021","shift's starting. bones say get up anyway"
"GR_OL_ML_ENG_00022","[TIRED] shift's over. everything's still standing. i'll call that a win"
"GR_OL_ML_ENG_00023","another shift down. body's collecting interest on all of them"
"GR_OL_ML_ENG_00024","[MUTTERS] all right, all right, i'm up. hold your horses"
"GR_OL_ML_ENG_00025","[GRIM] reactor's hot again. i don't like the way it's hot"
"GR_OL_ML_ENG_00026","[URGENT] she's going critical if i don't get in there now"
"GR_OL_ML_ENG_00027","[TERRIFIED] core's screaming and my hands won't stop shaking"
"GR_OL_ML_ENG_00028","[EXHAUSTED] patched the reactor. don't ask me how, i already forgot"
