"id","text"
"EV_FE_SCI_CA_00001","vitals nominal across the board. so is mine, for what it's worth"
"EV_FE_SCI_CA_00002","[CALM] quiet shift. i'm using it to catch up on charts nobody reads but me"
"EV_FE_SCI_CA_00003","shift beginning. crew roster, full complement, proceed"
"EV_FE_SCI_CA_00004","[TIRED] shift concluded. no fatalities. acceptable outcome"
"EV_FE_SCI_CA_00005","[GRIM] reactor readings are inconsistent with stated parameters. that concerns me"
"EV_FE_SCI_CA_00006","[URGENT] i need the engine room staffed immediately, this is not a request"
"EV_FE_SCI_CA_00007","[TERRIFIED] i don't have a protocol for this and i don't like improvising with lives"
"EV_FE_SCI_CA_00008","[CALM] repair confirmed. logging it and moving to the next problem"
"EV_FE_SCI_CA_00009","[GRIM] power reserves below acceptable threshold. rationing begins now"
"EV_FE_SCI_CA_00010","[NERVOUS] air quality dropping faster than the model predicted. i don't like being wrong"
"EV_FE_SCI_CA_00011","[GRIM] hull integrity compromised. i'm reallocating every hand we have"
"EV_FE_SCI_CA_00012","[GRIM] a door was locked with a crew member behind it. i authorized it. i'll carry that"
"EV_FE_SCI_CA_00013","[SUSPICIOUS] the AI's decision logs since the damage show inconsistencies. i'm reviewing them personally"
"EV_FE_SCI_CA_00014","[CALM] crisis resolved. i'll want everyone's vitals checked before anyone sleeps"
"EV_FE_SCI_CA_00015","[PAINED] we lost a crew member today. i'm documenting it properly. someone has to"
"EV_FE_SCI_CA_00016","[GRIM] a contagion on a ship this size is a mathematics problem before it's a medical one"
"EV_FE_SCI_CA_00017","[GRIM] contain first, treat second, panic never. that's the order it happens in"
"EV_FE_SCI_CA_00018","[PAINED] injury sustained. manageable. proceeding"
"EV_FE_SCI_CA_00019","[GRIM] combat casualties incoming. clearing medbay, all non-critical cases to quarters"
"EV_FE_SCI_CA_00020","[SUSPICIOUS] i trust data. the AI is also data, which is exactly why i verify it"
"EV_FE_SCI_CA_00021","the ship's AI made the statistically correct call. i'll note that for the record"
"EV_FE_SCI_CA_00022","i was a trauma surgeon before i was a captain. the transition was smaller than people assume"
"EV_FE_SCI_CA_00023","[CALM] fear is a data point. i note it and continue functioning"
"EV_FE_SCI_CA_00024","medbay's quiet today. i'll enjoy the anomaly"
"EV_FE_SCI_CA_00025","bridge readouts are all within tolerance. that's the whole report"
"EV_FE_SCI_CA_00026","good morning. i've already reviewed the overnight logs"
"EV_FE_SCI_CA_00027","you look undernourished. sit, eat, i'll wait"
"EV_FE_SCI_CA_00028","[GRIM] i need to brief you on the reactor readings before this escalates further"
"EV_FE_SCI_CA_00029","[GRIM] there's no gentle way to open this conversation, so i won't try"
"EV_FE_SCI_CA_00030","[SUSPICIOUS] i want a second opinion on the AI's recent decisions. yours"
"EV_FE_SCI_CA_00031","your performance during the crisis was exemplary. i don't say that lightly"
"EV_FE_SCI_CA_00032","[CALM] i'm fine. i've been trained not to be otherwise, mostly"
"EV_FE_SCI_CA_00033","[REASSURING] the numbers support survival. i wouldn't tell you that if they didn't"
"EV_FE_SCI_CA_00034","[CALM] panic changes nothing about the outcome except your odds. sit down and breathe"
"EV_FE_SCI_CA_00035","[PAINED] we lost them. i reviewed every decision twice. it wasn't a failure of judgment"
"EV_FE_SCI_CA_00036","[SUSPICIOUS] i share your concern about the AI. i'm building a case, not a conspiracy"
"EV_FE_SCI_CA_00037","[CALM] you performed correctly under pressure. that's the only metric that matters"
"EV_FE_SCI_CA_00038","apology noted and accepted. i don't hold grievances, they're inefficient"
"EV_FE_SCI_CA_00039","[CALM] that's a valid concern. i'll incorporate it into the plan"
"EV_FE_SCI_CA_00040","[CALM] dismissed. go rest, that's a medical order as much as a captain's one"
"EV_FE_SCI_CA_00041","that concludes the briefing. questions later, sleep now"
"EV_FE_SCI_CA_00042","[CALM] i'll be on the bridge reviewing data. as always"
"EV_FE_SCI_CA_00043","[TIRED] this concludes my available composure for today. good night"
"EV_FE_SCI_CA_00044","[CALM] meal interval. everyone maintains nutritional baseline. that's a captain's order."
"EV_FE_SCI_CA_00045","shift starting. i'm running the first pass of status checks myself."
"EV_FE_SCI_CA_00046","[TIRED] shift concluded. crew status nominal. bridge is sealed. i can rest now."
"EV_FE_SCI_CA_00047","[GRIM] life support system is now a triage problem. i'm prioritizing medbay and bridge first, then life-critical areas."
"EV_FE_SCI_CA_00048","[URGENT] power reserves are now a strategic problem. i'm implementing rationing across non-essential systems immediately."
"EV_FE_SCI_CA_00049","[GRIM] reactor status is critical. this is now a survival scenario. all non-essential personnel are moving to the forward sections."
"EV_FE_SCI_CA_00050","[CALM] all crew report to secondary duty stations. primary bridge is now under lockdown for repairs."
"EV_FE_SCI_CA_00051","[GRIM] i'm implementing command protocol seven. communications with the main section are cut. bridge becomes autonomous."
"EV_FE_SCI_CA_00052","[GRIM] i ordered that door sealed. it sealed with someone on the other side. i will account for that decision."
"EV_FE_SCI_CA_00053","[SUSPICIOUS] the AI's command decisions are now under my personal review. i'm reading every log entry."
"EV_FE_SCI_CA_00054","[CALM] the ship AI made the right call during the crisis. i'm commending it formally to the log."
"EV_FE_SCI_CA_00055","[GRIM] i'm injured but functional. sending a medic would be wasteful right now. i'll report to medbay after this is resolved."
"EV_FE_SCI_CA_00056","[PAINED] a crew member is dead. i signed the medical authorization that put them at risk. i will carry that."
"EV_FE_SCI_CA_00057","[PANICKED] the situation is cascading beyond my predictive models. i can't see the next move. everything's falling apart."
"EV_FE_SCI_CA_00058","[TERRIFIED] i don't have a protocol for this. nothing in my training prepared me for losing this much. i'm losing."
"EV_FE_SCI_CA_00059","[CALM] i'm consolidating our crew into two tenable positions. everyone else is on emergency protocols."
"EV_FE_SCI_CA_00060","[URGENT] i need a real-time casualty count and a resource assessment. ten minutes."
"EV_FE_SCI_CA_00061","[PAINED] they chose this when they put on the uniform. that doesn't make the loss lighter."
"EV_FE_SCI_CA_00062","[CALM] your assessment matches mine. that's why i trust you with this task."
"EV_FE_SCI_CA_00063","[CALM] return to your post. report any changes directly to me."
"EV_FE_SCI_CA_00064","[GRIM] we're not finished. rest when you can. that's all i'm granting."
"EV_FE_SCI_CA_00065","[DRY] someone re-shelved my pharmacy by color. it looks lovely. it will also kill somebody. undo it"
"EV_FE_SCI_CA_00066","your duty log says eight hours. your cortisol says twenty. one of these is lying to me"
"EV_FE_SCI_CA_00067","[DRY] diagnosis: chronic comedian. prognosis: tolerated, barely"
"EV_FE_SCI_CA_00068","you're baiting your captain. bold. i'd prescribe caution but you'd just build a tolerance"
"EV_FE_SCI_CA_00069","reviewed the fuel curves against the medical stores. we run out of patience before we run out of either. acceptable"
"EV_FE_SCI_CA_00070","bring me three numbers: air margin, fuel margin, crew hours slept. i'll make the decision from there"
"EV_FE_SCI_CA_00071","command note: i round every estimate down. optimism is a rounding error i can't afford"
"EV_FE_SCI_CA_00072","[DEADPAN] today's chart: two crises, zero deaths. by this ship's baseline, that's a wellness retreat"
"EV_FE_SCI_CA_00073","[DRY] if the ship kills us, i want it noted i kept excellent records the whole way down"
"EV_FE_SCI_CA_00074","in the trauma bay we called the quiet hour before dawn the shift lull. i still don't trust it"
"EV_FE_SCI_CA_00075","i remember my first command loss. the second-guessing outlived the grief. i budget for both now"
"EV_FE_SCI_CA_00076","i signed today's course change knowing the data was thin. captains sign anyway. that's the whole job"
"EV_FE_SCI_CA_00077","your doubt is clinically appropriate. mine is too. we proceed anyway, carefully"
"EV_FE_SCI_CA_00078","[CALM] your pulse is up, your reasoning is intact. that combination survives. hold onto the second part"
"EV_FE_SCI_CA_00079","[REASSURING] i've watched this crew beat worse odds while bleeding. the sample size is small but the trend is ours"
"EV_FE_SCI_CA_00080","[WARM] elevated heart rate, no fever, symptoms present only around you. i've ruled out everything but the obvious"
"EV_FE_SCI_CA_00081","i triage everything, and you keep coming up first. that's as romantic as my vocabulary gets"
"EV_FE_SCI_CA_00082","[WARM] yes. i checked my judgment twice for bias. it held"
"EV_FE_SCI_CA_00083","captain's log, informal: hull sound, crew tired, coffee low. threat assessment: the coffee"
"EV_FE_SCI_CA_00084","[CALM] all hands: hydrate, sleep in shifts, report symptoms early. i can fix almost anything i hear about in time"
"EV_FE_SCI_CA_00085","power triage, in order: air, medbay, doors, everything else. nobody's comfort made the list. mine included"
"EV_FE_SCI_CA_00086","[CALM] we can live in the dark. we can't live without scrubbers. the priority list writes itself"
"EV_FE_SCI_CA_00087","[GRIM] oxygen curve says twenty hours at current burn. every calm person on this ship just bought us more"
"EV_FE_SCI_CA_00088","symptoms of hypoxia arrive before the alarm does. anyone dizzy or euphoric reports to me immediately"
"EV_FE_SCI_CA_00089","[GRIM] i keep the names of everyone my orders have cost. today the list got longer. it stays legible"
"EV_FE_SCI_CA_00090","the door was my call, not yours. you carried out an order. i carry the order"
"EV_FE_SCI_CA_00091","i need two volunteers with steady hands and no head wounds. medbay, ten minutes"
"EV_FE_SCI_CA_00092","[DRY] dismissed. if anything ruptures, bleeds, or explodes, i want to hear it from you before the alarm"
"EV_FE_SCI_CA_00093","[WARM] go sleep. doctor's orders, captain's orders, and mine. three signatures, one instruction"
