"id","text"
"CH_ML_ENG_OF_00001","[NERVOUS] reactor's failing and i can't get the containment systems responsive"
"CH_ML_ENG_OF_00002","[GRIM] life support's cascade failing. everyone needs to evacuate non-essential sections"
"CH_ML_ENG_OF_00003","[PAINED] took a hit helping people to safety. everyone else is secure though"
"CH_ML_ENG_OF_00004","[GRIM] hull's breaching. sealing emergency bulkheads and calling everyone to stations"
"CH_ML_ENG_OF_00005","[PAINED] lost someone in that breach. the protocols we ran weren't enough"
"CH_ML_ENG_OF_00006","[LAUGHS] quiet shift today. she's purring and we're all in one piece. call that a win"
"CH_ML_ENG_OF_00007","trained half this team up from junior techs. watching them work makes me proud"
"CH_ML_ENG_OF_00008","[PAINED] lost a crew member today. blame the reactor failure, but the guilt's on me"
"CH_ML_ENG_OF_00009","[SUSPICIOUS] computer's been acting odd since it got damaged. keeping an eye on it"
"CH_ML_ENG_OF_00010","[NERVOUS] trying something that might not work. hopefully it does"
"CH_ML_ENG_OF_00011","hey, come on down to the engine room. great timing if you've got a minute"
"CH_ML_ENG_OF_00012","[WARM] morning shift crew. let's keep this running smooth, yeah?"
"CH_ML_ENG_OF_00013","[GRIM] reactor's misbehaving. i need everyone sharp and ready"
"CH_ML_ENG_OF_00014","[WARM] the way you handled that last crisis kept people alive. wanted you to know it"
"CH_ML_ENG_OF_00015","[FLIRTY] you know, watching someone work on the engine with real skill is attractive"
"CH_ML_ENG_OF_00016","[NERVOUS] could use your thoughts on something. i'm second-guessing my approach"
"CH_ML_ENG_OF_00017","[DRY] you're looking thoughtful today. problems with your section?"
"CH_ML_ENG_OF_00018","[GRIM] got something serious to tell you and i wish i didn't"
"CH_ML_ENG_OF_00019","[GRIM] hull's compromised. i need you ready for emergency protocols right now"
"CH_ML_ENG_OF_00020","[NERVOUS] disease outbreak affects air filtration. we need to isolate it fast"
"CH_ML_ENG_OF_00021","[WARM] you're solid. i mean that"
"CH_ML_ENG_OF_00022","[REASSURING] i've trained you well. you know what to do. trust that"
"CH_ML_ENG_OF_00023","[WARM] listen. look at me. we're going to fix this together. breathe"
"CH_ML_ENG_OF_00024","[LAUGHS] yeah, that one landed. mine was worse though"
"CH_ML_ENG_OF_00025","[WARM] forgotten already. we move forward. grab a drink if you need it"
"CH_ML_ENG_OF_00026","[EMPHASIS] copy. running the diagnostic now"
"CH_ML_ENG_OF_00027","[PAINED] we lost them. i take that responsibility seriously"
"CH_ML_ENG_OF_00028","[EMBARRASSED] oh — didn't expect that. that's really good to hear"
"CH_ML_ENG_OF_00029","[SUSPICIOUS] i want to trust it, but let's verify independently. can't be too careful"
"CH_ML_ENG_OF_00030","[PAINED] shoulder's giving me grief but i can still oversee. we keep going"
"CH_ML_ENG_OF_00031","[WARM] thanks for the support. having your back gives me confidence"
"CH_ML_ENG_OF_00032","[CURIOUS] what's your take? talk me through your approach"
"CH_ML_ENG_OF_00033","[GRIM] we've got the disease containment running. systems are holding"
"CH_ML_ENG_OF_00034","[WARM] everyone's secure. good thinking out there"
"CH_ML_ENG_OF_00035","[WARM] i actually trust the computer. it's never let the crew down"
"CH_ML_ENG_OF_00036","[WARM] door locked on crew. protocols worked, but it still went wrong somewhere"
"CH_ML_ENG_OF_00037","[CALM] everyone stay sharp. combat incoming and we need engineering ready"
"CH_ML_ENG_OF_00038","[WARM] see you next shift. keep her running smooth"
"CH_ML_ENG_OF_00039","[LAUGHS] alright, i need to check on the rest of the systems. you did solid today"
"CH_ML_ENG_OF_00040","[TIRED] gonna grab some rest. call if something critical happens"
"CH_ML_ENG_OF_00041","[EXHAUSTED] we made it through that. everyone goes to rest now"
"CH_ML_ENG_OF_00042","[WARM] glad to have you on the team. your work makes all the difference"
"CH_ML_ENG_OF_00043","[WARM] catch you next shift. keep being awesome"
"CH_ML_ENG_OF_00044","[WARM] quiet shift means i get to mentor someone on the finer points of maintenance"
"CH_ML_ENG_OF_00045","[LAUGHS] finally got that persistent alignment issue sorted. been bugging me for weeks"
"CH_ML_ENG_OF_00046","[WARM] meal time! perfect moment to grab fuel and think about what's ahead"
"CH_ML_ENG_OF_00047","[WARM] morning! let's keep her running smart and safe today"
"CH_ML_ENG_OF_00048","[TIRED] long shift but the team did solid work. proud of how we handled it"
"CH_ML_ENG_OF_00049","[WARM] break time. recharging before the next push"
"CH_ML_ENG_OF_00050","[NERVOUS] power situation requires strategic choices about what we keep running"
"CH_ML_ENG_OF_00051","[URGENT] life support's degrading. i need engineering focused on restoration"
"CH_ML_ENG_OF_00052","[PANICKED] reactor failure cascading and i'm trying to contain the damage"
"CH_ML_ENG_OF_00053","[PAINED] crew locked behind a door and i'm thinking about every call i made that led here"
"CH_ML_ENG_OF_00054","[CURIOUS] the computer's having issues but i can work around them"
"CH_ML_ENG_OF_00055","[WARM] the computer's solid. saves lives every day without complaint"
"CH_ML_ENG_OF_00056","[FLIRTY] competence is attractive. and you've got plenty of it"
"CH_ML_ENG_OF_00057","[WARM] working together makes me want to be better at my job"
"CH_ML_ENG_OF_00058","[PAINED] lost someone who understood the weight of keeping a ship running"
"CH_ML_ENG_OF_00059","[RESIGNED] every decision i make affects whether people come home. today we missed one"
"CH_ML_ENG_OF_00060","[PAINED] got burned during emergency cooling procedures but systems are stable"
"CH_ML_ENG_OF_00061","[GRUFF] injury's not the priority here. engineering needs leadership"
"CH_ML_ENG_OF_00062","[PANICKED] systems cascading and i can't get ahead of it!"
"CH_ML_ENG_OF_00063","[TERRIFIED] [EMPHASIS] the reactor won't stabilize and crew safety is at risk!"
"CH_ML_ENG_OF_00064","[WARM] been sketching improvements to the engine schematics in downtime"
"CH_ML_ENG_OF_00065","[CURIOUS] working on efficiency upgrades. old ship's got a lot of untapped potential"
"CH_ML_ENG_OF_00066","[WARM] want to talk through a systems problem? your perspective helps me see things"
"CH_ML_ENG_OF_00067","[CURIOUS] you've got engineering aptitude. ever thought about specializing?"
"CH_ML_ENG_OF_00068","[WARM] got a minute? i want to talk shop with someone i trust"
"CH_ML_ENG_OF_00069","[WHISPERS] systems are showing stress markers. prep team for possible emergency"
"CH_ML_ENG_OF_00070","[REASSURING] systems stabilized and recovery's on schedule. we got this"
"CH_ML_ENG_OF_00071","[WARM] team executed that perfectly. great work out there"
"CH_ML_ENG_OF_00072","[WARM] your solid judgment makes my job easier. thank you for that"
"CH_ML_ENG_OF_00073","[LAUGHS] good timing. mine was worse though"
"CH_ML_ENG_OF_00074","[WARM] water under the bridge. let's keep moving forward"
"CH_ML_ENG_OF_00075","[EMPHASIS] copy. executing protocols now"
"CH_ML_ENG_OF_00076","[PAINED] we lost them. that responsibility sits on my shoulders"
"CH_ML_ENG_OF_00077","[EMBARRASSED] oh — yeah. absolutely. that means a lot to me"
"CH_ML_ENG_OF_00078","[SUSPICIOUS] i'm seeing the same thing. let's independently verify before acting"
"CH_ML_ENG_OF_00079","[PAINED] shoulder's limiting my mobility but i can still direct"
"CH_ML_ENG_OF_00080","[WARM] you've got strong judgment and stronger character"
"CH_ML_ENG_OF_00081","[CURIOUS] what's your assessment? i trust your thinking"
"CH_ML_ENG_OF_00082","[WARM] see you next shift. keep the engines honest"
"CH_ML_ENG_OF_00083","[LAUGHS] back to the engine room. she's waiting"
"CH_ML_ENG_OF_00084","[TIRED] going to rest. call if engineering needs me"
"CH_ML_ENG_OF_00085","[WARM] you did solid work today. catch you next time"
"CH_ML_ENG_OF_00086","[CALM] engineering ready for emergency. standing by"
"CH_ML_ENG_OF_00087","[WARM] life support's recovering on schedule. crew'll be breathing easier soon"
"CH_ML_ENG_OF_00088","[WARM] i've got you. not leaving until this is fixed"
