"id","text"
"CH_FE_ENG_CM_00001","[NERVOUS] power's dropping and that's not a puzzle i can solve fast enough"
"CH_FE_ENG_CM_00002","[GRIM] reactor's screaming. clearing the room"
"CH_FE_ENG_CM_00003","[TERRIFIED] life support's failing. this is the kind of puzzle that ends badly"
"CH_FE_ENG_CM_00004","[PAINED] took a hit in the hull breach. didn't get everyone to the airlock in time"
"CH_FE_ENG_CM_00005","[PAINED] hurt my shoulder getting the panels back. manual work isn't kind"
"CH_FE_ENG_CM_00006","[LAUGHS] we didn't blow up today. honestly, that's a win"
"CH_FE_ENG_CM_00007","i remember when this engine was just a bad series of choices. look at her now"
"CH_FE_ENG_CM_00008","[PAINED] lost someone in the reactor explosion. hard to keep focused"
"CH_FE_ENG_CM_00009","[SUSPICIOUS] the computer made that call too fast. something's off"
"CH_FE_ENG_CM_00010","[NERVOUS] i'm gonna try something that might not work. fingers crossed"
"CH_FE_ENG_CM_00011","hey! got a second? could use a hand with this coupling"
"CH_FE_ENG_CM_00012","[WARM] morning! engine's in a good mood today, which means we get to be too"
"CH_FE_ENG_CM_00013","you look like you could use a distraction. cargo manifest just arrived"
"CH_FE_ENG_CM_00014","[GRIM] reactor's acting up again. i need you to stay sharp if this goes sideways"
"CH_FE_ENG_CM_00015","[WARM] the ship's running smooth because of how you handled that last crisis"
"CH_FE_ENG_CM_00016","[FLIRTY] you know, people who understand how engines work are surprisingly attractive"
"CH_FE_ENG_CM_00017","[NERVOUS] could use your thoughts on something. doubting my fix"
"CH_FE_ENG_CM_00018","[GRIM] need to tell you something about the disease spreading. it's affecting the air recyclers"
"CH_FE_ENG_CM_00019","[PAINED] lost someone in the reactor explosion. hard to keep focused"
"CH_FE_ENG_CM_00020","[WARM] you're good! seriously, no stress. we're a team"
"CH_FE_ENG_CM_00021","[REASSURING] i've fixed worse. way worse. we're gonna be fine"
"CH_FE_ENG_CM_00022","[WARM] listen to me. breathe. i've got this puzzle. you just stay calm"
"CH_FE_ENG_CM_00023","[LAUGHS] yeah, that's pretty good. maybe not as good as my fixes though"
"CH_FE_ENG_CM_00024","[WARM] it's forgotten already, seriously. come on, we've got work"
"CH_FE_ENG_CM_00025","[EMPHASIS] acknowledged! running that diagnostic now"
"CH_FE_ENG_CM_00026","[PAINED] we did everything we could. sometimes the puzzle doesn't have an answer"
"CH_FE_ENG_CM_00027","[EMBARRASSED] oh — didn't expect that. makes working on engines more interesting"
"CH_FE_ENG_CM_00028","[SUSPICIOUS] the computer made that call too fast. something's off"
"CH_FE_ENG_CM_00029","[PAINED] my shoulder's not great, but i can still work. gotta keep moving"
"CH_FE_ENG_CM_00030","[WARM] thanks. knowing someone's got my back makes every puzzle easier"
"CH_FE_ENG_CM_00031","[CURIOUS] so how do you think we should approach this? your perspective helps"
"CH_FE_ENG_CM_00032","[GRIM] we're sealed up tight. just need to wait this outbreak out"
"CH_FE_ENG_CM_00033","[EMPHASIS] hull's holding! sealing secondary compartments now"
"CH_FE_ENG_CM_00034","[WARM] emergency bulkhead is secure. bleeding's stopped, but we need to get to medbay"
"CH_FE_ENG_CM_00035","everyone on deck, systems all nominal. great work"
"CH_FE_ENG_CM_00036","[WARM] door's locked on crew. did everything right and it still went wrong"
"CH_FE_ENG_CM_00037","[WARM] see you next shift. keep her running smooth"
"CH_FE_ENG_CM_00038","[LAUGHS] alright, engine room's calling. she gets needy when i'm away"
"CH_FE_ENG_CM_00039","[TIRED] gonna grab some rest. if something breaks, patch it and call me"
"CH_FE_ENG_CM_00040","[WARM] you did great. catch you around"
"CH_FE_ENG_CM_00041","[EXHAUSTED] i'm going to sleep standing up somewhere. come find me when we dock"
"CH_FE_ENG_CM_00042","[WARM] got a minute? ship's running smooth and i wanted to grab you"
"CH_FE_ENG_CM_00043","[WARM] everyone's secured and systems nominal. you handled that perfectly"
"CH_FE_ENG_CM_00044","[WARM] the engines are purring today. makes the whole shift feel lighter"
"CH_FE_ENG_CM_00045","[LAUGHS] found a loose bolt that's been bugging me for weeks. finally!"
"CH_FE_ENG_CM_00046","you know what i love about meal time? engineering gets quieter"
"CH_FE_ENG_CM_00047","[WARM] morning crew! let's keep this beauty running"
"CH_FE_ENG_CM_00048","[TIRED] long shift but she held up perfect. best kind of exhaustion"
"CH_FE_ENG_CM_00049","[WARM] break time! heading to the mess for fuel"
"CH_FE_ENG_CM_00050","[NERVOUS] power's dropping and i need to figure out the priority puzzle fast"
"CH_FE_ENG_CM_00051","[URGENT] life support's struggling. i'm diverting everything i can"
"CH_FE_ENG_CM_00052","[PANICKED] this reactor failure's like nothing i've seen before"
"CH_FE_ENG_CM_00053","[PAINED] crew's stuck behind a locked door and all i can do is think about what they're going through"
"CH_FE_ENG_CM_00054","[CURIOUS] the computer's having some issues. hope it figures itself out"
"CH_FE_ENG_CM_00055","[WARM] the computer's been really solid through all this. trust that"
"CH_FE_ENG_CM_00056","[FLIRTY] could watch you work all day and call it engine maintenance"
"CH_FE_ENG_CM_00057","[WARM] you make the hard shifts easier just by being there"
"CH_FE_ENG_CM_00058","[PAINED] lost someone who understood machines like i do. that's rare"
"CH_FE_ENG_CM_00059","[RESIGNED] death stops everyone eventually. even the best puzzles end"
"CH_FE_ENG_CM_00060","[PAINED] burned my hand on a hot panel. rookie mistake in a crisis"
"CH_FE_ENG_CM_00061","[GRUFF] yeah, it hurts, but the engine still needs me"
"CH_FE_ENG_CM_00062","[PANICKED] everything's failing at once and i can't fix it all!"
"CH_FE_ENG_CM_00063","[TERRIFIED] [EMPHASIS] the reactor's not responding to anything i'm trying!"
"CH_FE_ENG_CM_00064","been tinkering with a little personal project in my off hours"
"CH_FE_ENG_CM_00065","[WARM] fixed an old piece of machinery just for fun. feels like art sometimes"
"CH_FE_ENG_CM_00066","talk to me about your section's systems. looking for any lurking issues"
"CH_FE_ENG_CM_00067","[WARM] you ever think about cross-training? you've got the aptitude"
"CH_FE_ENG_CM_00068","[WARM] hey! grab a minute? there's something cool i want to show you"
"CH_FE_ENG_CM_00069","[WHISPERS] between you and me, i think the reactor's about to give us a puzzle"
"CH_FE_ENG_CM_00070","[REASSURING] power's back! we're gonna be fine, i've got this under control"
"CH_FE_ENG_CM_00071","[WARM] see? another puzzle solved. that's two this week!"
"CH_FE_ENG_CM_00072","[WARM] you came through when i needed backup. that means everything"
"CH_FE_ENG_CM_00073","[LAUGHS] caught that one! your instincts are sharp"
"CH_FE_ENG_CM_00074","[WARM] no harm done. we're a team. that's what teams do"
"CH_FE_ENG_CM_00075","[EMPHASIS] roger that. putting all hands on it now"
"CH_FE_ENG_CM_00076","[WARM] we lost someone good. engine room won't feel the same"
"CH_FE_ENG_CM_00077","[EMBARRASSED] oh! i — yes. absolutely yes. that makes me really happy"
"CH_FE_ENG_CM_00078","[SUSPICIOUS] the computer made a call that doesn't add up to me"
"CH_FE_ENG_CM_00079","[WARM] shoulder's sore but operational. we keep moving"
"CH_FE_ENG_CM_00080","[WARM] you've got solid instincts and better judgment than you think"
"CH_FE_ENG_CM_00081","[CURIOUS] what's your read on this problem? two brains are better"
"CH_FE_ENG_CM_00082","[WARM] see you in a few. engine won't run itself"
"CH_FE_ENG_CM_00083","[LAUGHS] got to get back. these systems need attention"
"CH_FE_ENG_CM_00084","[TIRED] heading for rest. wake me if things get critical"
"CH_FE_ENG_CM_00085","[WARM] you did great. really great. see you next shift"
"CH_FE_ENG_CM_00086","[CALM] alright, emergency contained. everyone to your stations"
"CH_FE_ENG_CM_00087","[WARM] life support's back online. we made it through"
"CH_FE_ENG_CM_00088","[WARM] i got you. i'm not going anywhere until this is fixed"
