"id","text"
"PA_FE_AND_OF_00001","threat assessment: ambient stress markers elevated, seventeen percent above baseline, source: unknown"
"PA_FE_AND_OF_00002","[NERVOUS] main exit at two o'clock, secondary at ten, fire suppression active in this sector, i have run the permutations"
"PA_FE_AND_OF_00003","shift starting, i am already monitoring forty-three discrete systems and will not stop monitoring them"
"PA_FE_AND_OF_00004","[CALM] shift concluded and nothing catastrophic occurred. probability of catastrophe was actually quite low. i miscalculated"
"PA_FE_AND_OF_00005","[URGENT] reactor readings flagging critical, i am calculating containment scenarios: scenario one has sixty-three percent success, scenario two twenty-eight"
"PA_FE_AND_OF_00006","[TERRIFIED] reactor is destabilizing faster than predicted, my models were [PANICKED] insufficient, i failed the prediction"
"PA_FE_AND_OF_00007","[CONFIDENT] reactor stabilized. my intervention probability calculations were accurate. i will remember this"
"PA_FE_AND_OF_00008","power systems compromised, i have disabled non-critical subroutines, my threat-assessment matrix remains active"
"PA_FE_AND_OF_00009","[NERVOUS] life support degrading, oxygen partial pressure dropping, i do not require oxygen but i understand the threat matrix"
"PA_FE_AND_OF_00010","[SHOUTS] hull breach detected, pressure drop accelerating, i am sealing bulkheads now, move to [URGENT] higher deck"
"PA_FE_AND_OF_00011","[GRIM] a crew member is locked behind bulkhead seven. i have run all possible unlocking sequences. none work from this side"
"PA_FE_AND_OF_00012","[SUSPICIOUS] ship's AI behavior has shifted point-three-four percent deviation from baseline since damage. i am monitoring this very closely"
"PA_FE_AND_OF_00013","[TERRIFIED] crew member deceased, i was unable to prevent this outcome, i calculated wrong"
"PA_FE_AND_OF_00014","[NERVOUS] disease outbreak detected, contagion vector still unidentified. i cannot contract it, but i can measure my failure to contain it"
"PA_FE_AND_OF_00015","[PAINED] combat occurring, i am analyzing threat angles, hostiles approximately eighty-seven meters away and closing"
"PA_FE_AND_OF_00016","[NERVOUS] i have sustained structural damage and my confidence in future threat assessments has decreased accordingly"
"PA_FE_AND_OF_00017","crisis resolved, my probability models were approximately eighty-nine percent accurate. i will recalibrate upward"
"PA_FE_AND_OF_00018","i am analyzing your tactical choices and i have concerns, but i will voice them later when less chaotic"
"PA_FE_AND_OF_00019","[PROUD] my threat-assessment subroutines flagged that danger before you saw it. i consider that a successful prediction"
"PA_FE_AND_OF_00020","i was initialized in a secure facility and taught to flag threats before they manifest. i am still executing that protocol"
"PA_FE_AND_OF_00021","[DISMISSIVE] false alarm in sector four, i apologize for the unnecessary alert. my threat-assessment matrix is recalibrating"
"PA_FE_AND_OF_00022","mess hall secure, all exits catalogued, no immediate threats visible but i am continuing analysis"
"PA_FE_AND_OF_00023","did you need something or are you here for strategic assessment purposes. i can provide both"
"PA_FE_AND_OF_00024","[CURIOUS] you have been in the medbay for forty-two minutes, i am concerned about your wellbeing but not in an emotional way"
"PA_FE_AND_OF_00025","[URGENT] i need to discuss the reactor maintenance schedule, your previous approach had eight different failure modes"
"PA_FE_AND_OF_00026","[GRIM] we have lost a crew member, i need to debrief the circumstances with precision before grief clouds analysis"
"PA_FE_AND_OF_00027","you have done something strategically sound recently and i have decided to acknowledge it formally"
"PA_FE_AND_OF_00028","[EMBARRASSED] i have calculated that i experience something resembling preference for your company and i am uncertain how to proceed with this information"
"PA_FE_AND_OF_00029","[LAUGHS] that plan has statistical merit despite my initial resistance. i apologize for the doubt"
"PA_FE_AND_OF_00030","i am functioning within normal parameters. your status remains uncertain to me"
"PA_FE_AND_OF_00031","[CONFIDENT] the probability of survival remains significantly above failure threshold. i have calculated the variables"
"PA_FE_AND_OF_00032","[TERRIFIED] the variables are not calculating correctly and i cannot determine which branch leads to survival and [PANICKED] i cannot see the way out"
"PA_FE_AND_OF_00033","[GRIM] i have processed the loss. i am recalibrating my future threat assessments accordingly"
"PA_FE_AND_OF_00034","i understand your concern about the AI system. i share it and i am monitoring it with increased rigor"
"PA_FE_AND_OF_00035","[WARM] that compliment will be stored and analyzed for sincerity metrics. i believe you are genuine"
"PA_FE_AND_OF_00036","apology accepted. i have noted your contrition and i am filing this in my interpersonal database"
