"id","text"
"PA_ML_SCI_CM_00001","[NERVOUS] i've checked the seal three times. i'm going to check it a fourth"
"PA_ML_SCI_CM_00002","[MUTTERS] quiet shift. quiet shifts are when the bad thing is just getting started"
"PA_ML_SCI_CM_00003","[NERVOUS] okay. okay, shift's starting. i've got my notes, i've got my — okay. ready"
"PA_ML_SCI_CM_00004","[EXHAUSTED] shift's over and nothing tried to kill me. logging that as a statistical anomaly"
"PA_ML_SCI_CM_00005","[TERRIFIED] the reactor readings don't match the manual, and i've read the manual four times"
"PA_ML_SCI_CM_00006","[PANICKED] i don't know if we're going to survive this and nobody's answering my questions"
"PA_ML_SCI_CM_00007","[NERVOUS] they say it's fixed. i want to believe that. i want to believe a lot of things"
"PA_ML_SCI_CM_00008","[NERVOUS] power's low, which means backups are running, which means backups can fail too"
"PA_ML_SCI_CM_00009","[TERRIFIED] the air tastes different. is that just me? tell me that's just me"
"PA_ML_SCI_CM_00010","[PANICKED] hull's breached, hull's breached, i heard it, i counted the seconds, that's bad"
"PA_ML_SCI_CM_00011","[NERVOUS] they locked a door with someone behind it. i keep thinking, what if it's me next time"
"PA_ML_SCI_CM_00012","[SUSPICIOUS] i've been logging every AI decision since the damage. somebody should"
"PA_ML_SCI_CM_00013","[SUSPICIOUS] it answered that question a little too smoothly. i wrote it down"
"PA_ML_SCI_CM_00014","[NERVOUS] crisis over, they say. i'll believe it in about six hours, once my hands stop shaking"
"PA_ML_SCI_CM_00015","[PAINED] we lost someone. i keep running the timeline, looking for the version where they don't"
"PA_ML_SCI_CM_00016","[TERRIFIED] a pathogen on a closed ship is exactly the scenario i've had nightmares about"
"PA_ML_SCI_CM_00017","[NERVOUS] i triple-bagged every sample. i know it's excessive. i'm doing it again anyway"
"PA_ML_SCI_CM_00018","[PAINED] cut myself on the specimen tray. of course i did. of course"
"PA_ML_SCI_CM_00019","[TERRIFIED] i don't have a weapon skill and there's shooting somewhere on this ship"
"PA_ML_SCI_CM_00020","[NERVOUS] i don't trust anything that doesn't sleep. i barely trust things that do"
"PA_ML_SCI_CM_00021","[MUTTERS] fine, fine, it made the right call. i still checked its math"
"PA_ML_SCI_CM_00022","[NERVOUS] i keep a private log. things that don't add up. it's longer than i'd like"
"PA_ML_SCI_CM_00023","[NERVOUS] medbay's too quiet. i keep waiting for the quiet to be a trick"
"PA_ML_SCI_CM_00024","[MUTTERS] cargo bay creaks different than yesterday. probably nothing. i wrote it down anyway"
"PA_ML_SCI_CM_00025","hi. hey. hi, sorry, is this a bad time, i can come back"
