"id","text"
"CH_ML_SCI_OF_00001","morning, sickbay! nobody's dying today, so we're already ahead of schedule"
"CH_ML_SCI_OF_00002","[LAUGHS] quiet shift means i finally get to reorganize the pharmacology shelf. living the dream"
"CH_ML_SCI_OF_00003","[WARM] shift's starting, patients! well — hopefully no patients. that's the goal"
"CH_ML_SCI_OF_00004","[TIRED] shift's over and everyone's still got all their limbs. gold star day"
"CH_ML_SCI_OF_00005","[NERVOUS] reactor's misbehaving, which is way outside my expertise, but i'm worried anyway"
"CH_ML_SCI_OF_00006","[EXHAUSTED] patched everyone up from that reactor scare. i deserve a cookie. i will not receive one"
"CH_ML_SCI_OF_00007","[WARM] power's low so sickbay's running on the emergency lights. very moody. very dramatic"
"CH_ML_SCI_OF_00008","[NERVOUS] air quality's dropping and i genuinely cannot medicine my way out of that one"
"CH_ML_SCI_OF_00009","[GRIM] hull breach means incoming trauma cases. clearing beds now"
"CH_ML_SCI_OF_00010","[PAINED] they locked a door on someone. i keep thinking there was a version where i got there faster"
"CH_ML_SCI_OF_00011","[SUSPICIOUS] the computer's been weird since it got hurt. i get it, i'd be weird too"
"CH_ML_SCI_OF_00012","[WARM] we all made it. that's the whole job, right there, everybody made it"
"CH_ML_SCI_OF_00013","[PAINED] lost a patient today. i don't have a joke for this one. not today"
"CH_ML_SCI_OF_00014","[NERVOUS] disease outbreak on a ship this small is my actual nightmare, and i have several"
"CH_ML_SCI_OF_00015","[WARM] isolation protocol's up. boring for them, safest for everyone. i'll bring snacks"
"CH_ML_SCI_OF_00016","[PAINED] took a hit helping move a patient. worth it, still ouch"
"CH_ML_SCI_OF_00017","[GRIM] combat casualties coming in, everyone not bleeding please clear the hallway"
"CH_ML_SCI_OF_00018","i genuinely like the computer. it's never once complained about my puns"
"CH_ML_SCI_OF_00019","[LAUGHS] i became a doctor because i like fixing things that talk back. mostly worked out"
"CH_ML_SCI_OF_00020","[WARM] sickbay's stocked, sterile, and smells like antiseptic and my aggressive optimism"
"CH_ML_SCI_OF_00021","[LAUGHS] mess hall food again. bold of the kitchen to keep trying"
"CH_ML_SCI_OF_00022","hey! come on in, i promise the needles are optional today"
"CH_ML_SCI_OF_00023","you eating something that isn't a stimpak? good, keep that up"
"CH_ML_SCI_OF_00024","[WARM] got a minute? nothing bad, i promise, i just want to check your stress levels"
"CH_ML_SCI_OF_00025","[GRIM] i need to tell you something, and i wish i didn't have to"
"CH_ML_SCI_OF_00026","hey, you handled that beautifully today. wanted you to hear it out loud"
"CH_ML_SCI_OF_00027","[FLIRTY] you know, for someone who scares easy, you've got a great bedside manner yourself"
"CH_ML_SCI_OF_00028","[WARM] i'm good! genuinely good, it's kind of my whole thing"
"CH_ML_SCI_OF_00029","[REASSURING] you're going to be fine. i've said it a hundred times and meant it every time"
"CH_ML_SCI_OF_00030","[WARM] hey, hey — breathe with me. in, out. good. now let's talk about what's actually wrong"
"CH_ML_SCI_OF_00031","[PAINED] we lost them. i want you to know i tried everything, and i mean everything"
"CH_ML_SCI_OF_00032","[LAUGHS] okay that pun was terrible even by my standards, and my standards are low"
"CH_ML_SCI_OF_00033","[WARM] apology accepted, forgotten, we're good, come get a lollipop"
"CH_ML_SCI_OF_00034","[EMBARRASSED] oh — oh, i did not expect that. give me a second to process how happy that made me"
"CH_ML_SCI_OF_00035","[SUSPICIOUS] i want to trust it, i do, i just also want a second opinion. that's allowed"
"CH_ML_SCI_OF_00036","[WARM] bye! go be healthy somewhere that isn't my sickbay for once"
"CH_ML_SCI_OF_00037","[LAUGHS] okay, patients await, or don't, fingers crossed for don't. bye!"
"CH_ML_SCI_OF_00038","[WARM] rest up. doctor's orders, and i am, in fact, the doctor"
"CH_ML_SCI_OF_00039","[TIRED] i'll be here. sickbay doesn't close, even for me"
"CH_ML_SCI_OF_00040","[WARM] quiet shift in sickbay is my favorite kind of shift"
"CH_ML_SCI_OF_00041","[LAUGHS] finally cataloged all those biological samples. organization is satisfaction"
"CH_ML_SCI_OF_00042","[WARM] meal time! heading out to actually taste food with my mouth"
"CH_ML_SCI_OF_00043","[WARM] shift's on! sickbay's ready to not have patients"
"CH_ML_SCI_OF_00044","[TIRED] shift complete and crew's intact. literally the goal"
"CH_ML_SCI_OF_00045","[WARM] break time for sustenance and reflection"
"CH_ML_SCI_OF_00046","[NERVOUS] power dropping means sickbay's running on minimal equipment"
"CH_ML_SCI_OF_00047","[URGENT] air quality degrading and patients' oxygen needs are rising"
"CH_ML_SCI_OF_00048","[PANICKED] reactor failure incoming trauma and i need to be ready"
"CH_ML_SCI_OF_00049","[PAINED] door locked and crew behind it. i've been thinking about what i could have prevented"
"CH_ML_SCI_OF_00050","[CURIOUS] the computer's struggling but i understand degradation"
"CH_ML_SCI_OF_00051","[WARM] the computer's brilliant. never complained about any of my puns"
"CH_ML_SCI_OF_00052","[FLIRTY] intelligence and compassion are your best features. second best anyway"
"CH_ML_SCI_OF_00053","[WARM] you make these long shifts feel shorter and better"
"CH_ML_SCI_OF_00054","[PAINED] lost a patient. lost a person. that weight stays with you"
"CH_ML_SCI_OF_00055","[RESIGNED] medicine can't save everyone. intellectually i know. emotionally i hate it"
"CH_ML_SCI_OF_00056","[PAINED] got injured during emergency medical procedures. ironic"
"CH_ML_SCI_OF_00057","[GRUFF] yeah i'm hurt but patients are priority. doctor's oath and all"
"CH_ML_SCI_OF_00058","[PANICKED] multiple critical patients and i can't be in all places!"
"CH_ML_SCI_OF_00059","[TERRIFIED] [EMPHASIS] patient coding and air quality failing simultaneously!"
"CH_ML_SCI_OF_00060","[WARM] been researching advanced surgical techniques in downtime"
"CH_ML_SCI_OF_00061","[CURIOUS] working on a new hypothesis about stress-related physiology"
"CH_ML_SCI_OF_00062","[WARM] how's your wellbeing today? real answer"
"CH_ML_SCI_OF_00063","[CURIOUS] you've got medical aptitude. interested in learning more?"
"CH_ML_SCI_OF_00064","[WARM] hey! come on in. sickbay's open and judgment-free"
