"id","text"
"PA_ML_MAR_OF_00001","[URGENT] threat assessment: corridors clear but i've seen nine different ways this sector could be compromised"
"PA_ML_MAR_OF_00002","shift starting, weapons check complete, perimeter secure, standby alert level three because level two is wishful thinking"
"PA_ML_MAR_OF_00003","[TIRED] shift's over and nobody tried to kill us, which is my baseline for a good day"
"PA_ML_MAR_OF_00004","[TERRIFIED] reactor's critical and i've got three different contingency plans for containment but [URGENT] they're all risky"
"PA_ML_MAR_OF_00005","[PANICKED] reactor's out of control and i can't shoot the problem and i [TERRIFIED] i don't have a contingency for this"
"PA_ML_MAR_OF_00006","[CONFIDENT] reactor stabilized, my contingency plan alpha held up under actual stress, noted for future application"
"PA_ML_MAR_OF_00007","power's low, we've got six hours before secondary systems start failing, i'm briefing contingencies now"
"PA_ML_MAR_OF_00008","[NERVOUS] air's thinning, we've got maybe forty minutes before hypoxia becomes critical across the ship"
"PA_ML_MAR_OF_00009","[SHOUTS] hull breach, we're sealing sectors, get to high ground, move move move, this is not a drill"
"PA_ML_MAR_OF_00010","[GRIM] locked a crew member behind that bulkhead and i've calculated every possible way to undo it and none of them work"
"PA_ML_MAR_OF_00011","[SUSPICIOUS] the ship's AI is deviating from baseline protocols, i'm flagging it as a potential hostile asset and monitoring closely"
"PA_ML_MAR_OF_00012","[PAINED] lost crew, and i'm standing here knowing i couldn't protect them from this kind of threat"
"PA_ML_MAR_OF_00013","[NERVOUS] disease spreading and i can't shoot the contagion, can't protect the crew from an invisible enemy, hate this"
"PA_ML_MAR_OF_00014","[PAINED] took a round and i'm still mobile, wounds don't stop operations, just change contingencies"
"PA_ML_MAR_OF_00015","[SHOUTS] contact, weapons hot, defensive positions, return fire, protocols echo seven through nine, go go go"
"PA_ML_MAR_OF_00016","crisis contained and i'm running the debrief on what went right and what went catastrophically wrong the moment it started"
"PA_ML_MAR_OF_00017","[PROUD] flagged that threat profile three weeks ago before anyone else saw it, i've still got good instincts"
"PA_ML_MAR_OF_00018","[LAUGHS] briefed seven different contingencies and guess which one we needed, the one i predicted first, they never listen"
"PA_ML_MAR_OF_00019","[GRUFF] served on three ships and learned that the ones that failed always had someone who saw the threat first and got ignored"
"PA_ML_MAR_OF_00020","[DISMISSIVE] false alarm on the perimeter, i'm sorry for the alert, my sensors were picking up shadows, recalibrating"
"PA_ML_MAR_OF_00021","quiet shift is the dangerous shift, nothing's happening means something's being hidden, keep your sidearm close"
"PA_ML_MAR_OF_00022","[GRUFF] needed down here on patrol, what's the situation"
"PA_ML_MAR_OF_00023","[URGENT] i need to walk through security protocols with you, i found three gaps in perimeter coverage"
"PA_ML_MAR_OF_00024","[NERVOUS] briefing contingencies, we're not ready for a hull breach in the cargo section, i'm walking you through my protocols"
"PA_ML_MAR_OF_00025","[GRIM] we lost one of ours and i'm running the tactical debrief right now while it's fresh"
"PA_ML_MAR_OF_00026","you handled that threat correctly and faster than i anticipated, that's solid work"
"PA_ML_MAR_OF_00027","[EMBARRASSED] i think about you more than my threat assessment protocols let me, which is dangerous and also confusing"
"PA_ML_MAR_OF_00028","[LAUGHS] your plan's reckless and i hate it and it'll probably work because reckless is sometimes tactical"
"PA_ML_MAR_OF_00029","[GRUFF] i'm operational, perimeter's secure, weapons loaded, ready to respond to any scenario"
"PA_ML_MAR_OF_00030","[CONFIDENT] we're gonna hold this, i've got contingencies stacked three deep and i didn't brief half of them"
"PA_ML_MAR_OF_00031","[TERRIFIED] i don't know if we hold this and that's the only thing that scares me more than the actual threat"
"PA_ML_MAR_OF_00032","[PAINED] we lost them and i'm already running the post-action debrief to make sure this doesn't happen again"
"PA_ML_MAR_OF_00033","[SUSPICIOUS] i've been tracking that AI anomaly too and i'm treating it as a potential threat vector until proven otherwise"
"PA_ML_MAR_OF_00034","[WARM] appreciate that, and i'm filing it as a positive tactical assessment in my personal records"
"PA_ML_MAR_OF_00035","[GRUFF] apology accepted, move on, we don't have time for guilt, just learn it and don't repeat the error"
