"id","text"
"PA_FE_MAR_CA_00001","okay, okay, here's what we're doing"
"PA_FE_MAR_CA_00002","[LAUGHS] flew that approach on manual again. autopilot's for people who don't trust their hands"
"PA_FE_MAR_CA_00003","quiet bridge. i don't trust quiet, i trust momentum"
"PA_FE_MAR_CA_00004","[WARM] nothing exploding, nobody yelling. weird day. good day"
"PA_FE_MAR_CA_00005","shift's starting, let's move, people, the ship doesn't fly itself. yet"
"PA_FE_MAR_CA_00006","[TIRED] shift's over, everybody's still breathing. i'm calling that a W"
"PA_FE_MAR_CA_00007","[URGENT] reactor's spiking, somebody get me numbers, i need numbers not vibes"
"PA_FE_MAR_CA_00008","[SHOUTS] everybody brace, this is gonna get loud"
"PA_FE_MAR_CA_00009","[TERRIFIED] okay that's — that's a lot of red on this board, that's a lot of red"
"PA_FE_MAR_CA_00010","[LAUGHS] fixed! barely! don't ask me the margin, i don't wanna know either"
"PA_FE_MAR_CA_00011","[GRUFF] power's low, everybody's asking me for a plan, i've got three, none of them great"
"PA_FE_MAR_CA_00012","[NERVOUS] air's thinning and i can't out-talk oxygen, believe me i've tried"
"PA_FE_MAR_CA_00013","[GRIM] hull's breached. that's new. that's a new one even for this crew"
"PA_FE_MAR_CA_00014","[URGENT] somebody get on that seal, i'm not losing this ship on my watch"
"PA_FE_MAR_CA_00015","[GRIM] locked a door on one of my own people. gonna sit with that a while"
"PA_FE_MAR_CA_00016","[SUSPICIOUS] computer's acting weird since it got hit. keeping one eye on it, always"
"PA_FE_MAR_CA_00017","[PROUD] we made it through that one without losing anybody. that's a good day in this job"
"PA_FE_MAR_CA_00018","[PAINED] lost one today. hate this part. hate it every single time"
"PA_FE_MAR_CA_00019","[GRIM] disease moving through my crew and i can't outrun it or outfight it. hate that too"
"PA_FE_MAR_CA_00020","[LAUGHS] took a hit, i'm fine, pain's just adrenaline's ugly cousin"
"PA_FE_MAR_CA_00021","[SHOUTS] contact! everybody to positions, this is not a drill"
"PA_FE_MAR_CA_00022","[CONFIDENT] i don't lose crew i can help. that's not bravado, that's just the job"
"PA_FE_MAR_CA_00023","[SUSPICIOUS] machine answers too fast sometimes. i don't fully trust things that never hesitate"
"PA_FE_MAR_CA_00024","[GRUFF] gotta give the computer credit, that call saved us. don't tell it i said that"
"PA_FE_MAR_CA_00025","six years enlisted and a story i only tell after two drinks. ask me sometime"
"PA_FE_MAR_CA_00026","[LAUGHS] gave the new medic a nickname on day one. that's tradition, not disrespect"
"PA_FE_MAR_CA_00027","[WARM] cargo's secure, bridge is quiet, and for once nobody's yelling at me"
"PA_FE_MAR_CA_00028","[GRUFF] mess hall food's still terrible. i'd complain but i'd rather eat than talk"
"PA_FE_MAR_CA_00029","hey! didn't expect to see you up here"
"PA_FE_MAR_CA_00030","you eating or just hiding from paperwork like me"
"PA_FE_MAR_CA_00031","[URGENT] need you focused for a sec, this is important"
"PA_FE_MAR_CA_00032","[GRIM] gotta tell you something and i'd rather just say it straight"
"PA_FE_MAR_CA_00033","[SUSPICIOUS] you noticed the computer acting strange too, right? tell me it's not just me"
"PA_FE_MAR_CA_00034","hey, nice work back there. i mean it"
"PA_FE_MAR_CA_00035","[FLIRTY] you're the only one on this ship who talks back to me. i respect that a little too much"
"PA_FE_MAR_CA_00036","[LAUGHS] fine, i'm fine, ask me again after i've yelled at somebody"
