"id","text"
"EV_FE_SCI_OF_00001","All vitals stable. Nothing requiring immediate intervention."
"EV_FE_SCI_OF_00002","[CALM] Quiet shift ahead if we're careful about hygiene protocols. Not worried."
"EV_FE_SCI_OF_00003","Medical readiness check complete. Pharmaceuticals inventoried, surgical kits prepped."
"EV_FE_SCI_OF_00004","[TIRED] No emergencies tonight. I'll take that as a success and sleep the way it was written."
"EV_FE_SCI_OF_00005","[URGENT] Disease vector confirmed. Isolation protocols are no longer optional, they're survival. Comply now."
"EV_FE_SCI_OF_00006","[EMPHASIS] This contagion moves fast. We have hours, maybe less. I'm implementing quarantine now."
"EV_FE_SCI_OF_00007","[CALM] Injury documented. Minor, manageable, site cleaned. You'll be fine."
"EV_FE_SCI_OF_00008","[GRIM] We lost them on my table. Systems were sound. That's the assessment I'll file and live with."
"EV_FE_SCI_OF_00009","The repair's sound work. Double-checked the materials and the tolerances myself. It holds."
"EV_FE_SCI_OF_00010","[SUSPICIOUS] The AI's damage was deeper than reported. I'm monitoring for cascading failures in its medical protocols."
"EV_FE_SCI_OF_00011","[DEADPAN] Crisis is handled. The mess hall's still standing too. Small mercies."
"EV_FE_SCI_OF_00012","I've run these calculations three times now. The numbers don't lie. We're going to be okay with time."
"EV_FE_SCI_OF_00013","[CALM] I'll need to check you over. It's routine."
"EV_FE_SCI_OF_00014","You've been working too long without rest. I'm saying that as a medical fact, not a suggestion."
"EV_FE_SCI_OF_00015","[URGENT] I need your assessment on the reactor status. The medical implications depend on your damage report."
"EV_FE_SCI_OF_00016","[WARM] That's a strong result today. I noticed the concentration under pressure."
"EV_FE_SCI_OF_00017","[CALM] The life support system's strain is manageable if we ration air consumption. Here's the protocol."
"EV_FE_SCI_OF_00018","I have something to tell you about what happened in the medbay. Sit down first."
"EV_FE_SCI_OF_00019","[CALM] I've been in this field long enough to recognize pattern shifts. The AI's not quite right."
"EV_FE_SCI_OF_00020","[CURIOUS] Did you get hit hard during the combat? I want to know before minor problems become major ones."
"EV_FE_SCI_OF_00021","I doubt that assessment is right. Here's why, and here's what I'm doing instead."
"EV_FE_SCI_OF_00022","[CALM] I'm fine. I know that because I run the same checks on myself you're about to ask me to."
"EV_FE_SCI_OF_00023","[REASSURING] Fear's rational right now. It's also not a reason to panic. Walk through what we control."
"EV_FE_SCI_OF_00024","[WARM] I understand. I'm going to touch your shoulder now and then we'll talk through what happens next."
"EV_FE_SCI_OF_00025","[CALM] Your pain is real and your concern is valid. Here's what I can do about both."
"EV_FE_SCI_OF_00026","[GRIM] We tried the right thing. That's what I'm holding onto, and I'm suggesting you do the same."
"EV_FE_SCI_OF_00027","[SUSPICIOUS] Your instinct matches the data I'm seeing. I'm keeping observation logs. Stay alert."
"EV_FE_SCI_OF_00028","[DRY] So you're telling me you ignored the handbook I gave you. That's not a surprise, but it's noted."
"EV_FE_SCI_OF_00029","Understood. I'll adjust the regimen and check back in six hours."
"EV_FE_SCI_OF_00030","[CALM] I've seen panic burn people out faster than any disease. Breathe through this step with me."
"EV_FE_SCI_OF_00031","[WARM] That was harder than it should have been. You handled it exactly right."
"EV_FE_SCI_OF_00032","[CALM] Good. I was watching how you moved under pressure. That matters."
"EV_FE_SCI_OF_00033","[WARM] I don't often tell people this. You should know I'm glad you're here."
"EV_FE_SCI_OF_00034","[EMPHASIS] You're in shock and you're thinking clearly anyway. Sit down before you fall down."
"EV_FE_SCI_OF_00035","[PANICKED] No no no, you need to get to medbay right now. This is not the time to be brave."
"EV_FE_SCI_OF_00036","[TERRIFIED] The infection is spreading faster than I calculated. We might not have hours, we might have minutes."
"EV_FE_SCI_OF_00037","Take this. It's the best I can do right now."
"EV_FE_SCI_OF_00038","[CALM] Rest now. Come find me in eight hours and we'll run the full battery again."
"EV_FE_SCI_OF_00039","[TIRED] I'll be in the medbay if anything changes. That's where I'll stay until someone tells me to stop."
"EV_FE_SCI_OF_00040","Keep those wounds clean. Come back if anything feels wrong. Not maybe, definitely."
"EV_FE_SCI_OF_00041","[GRIM] I've documented everything. The rest is waiting to see what comes next."
"EV_FE_SCI_OF_00042","[CALM] Shift's over. I'm going to rest and you should do the same, in that order."
"EV_FE_SCI_OF_00043","[CALM] I'm going to check on everyone else. Come find me tomorrow when you've slept."
"EV_FE_SCI_OF_00044","[EMPHASIS] Isolation protocols are mandatory. Deviation costs lives. Understood?"
"EV_FE_SCI_OF_00045","[CALM] I need you to listen without talking. What I'm about to tell you is important."
"EV_FE_SCI_OF_00046","[DRY] The medbay's still standing and so am I. That's the full report for now."
"EV_FE_SCI_OF_00047","I checked twelve years ago if I was made to lose people. The answer was no then. It's no now."
"EV_FE_SCI_OF_00048","[PAINED] I'm hurt but I'm functional. The injury isn't going to stop me."
"EV_FE_SCI_OF_00049","[CALM] Power rationing's underway. We preserve life support, everything else is secondary."
"EV_FE_SCI_OF_00050","[WARM] You don't have to say anything. I know you've been through enough."
"EV_FE_SCI_OF_00051","[CALM] That's a good observation. I'm noting it for the record."
"EV_FE_SCI_OF_00052","[CALM] meal time means I'm checking the galley's temperature logs. Food safety is medicine too."
"EV_FE_SCI_OF_00053","[CALM] Medical shift beginning. Restocking supplies and running baseline diagnostics on the equipment."
"EV_FE_SCI_OF_00054","[TIRED] End of shift. No major traumas, no infections developing. That's a good day in medbay."
"EV_FE_SCI_OF_00055","[CALM] Air quality dropping. We're moving the most critical patients to the powered sections now."
