"id","text"
"GR_ML_ENG_CM_00001","man, i'm tired"
"GR_ML_ENG_CM_00002","thirty-one years and my knees still don't believe in this job"
"GR_ML_ENG_CM_00003","[MUTTERS] that relay's gonna go before we hit dock, i can feel it"
"GR_ML_ENG_CM_00004","coffee's gone cold again. story of my life"
"GR_ML_ENG_CM_00005","[SIGHS] every ship's got a sound it makes right before it costs you money"
"GR_ML_ENG_CM_00006","back on the Kestrel we'd have had this fixed an hour ago. different crew though"
"GR_ML_ENG_CM_00007","[GRUFF] quit rattling. i see you. i hear you. i'm coming"
"GR_ML_ENG_CM_00008","nobody appreciates a good bearing until it's screaming at three in the morning"
"GR_ML_ENG_CM_00009","i've buried better tools than most people i've met"
"GR_ML_ENG_CM_00010","[DRY] the day this ship stops surprising me is the day i retire. so, never"
"GR_ML_ENG_CM_00011","that tin of bolts is forty years of ships that didn't make it. don't touch it"
"GR_ML_ENG_CM_00012","[MUTTERS] course you'd pick now to leak. course you would"
"GR_ML_ENG_CM_00013","hands ache worse than they used to. don't tell the captain"
"GR_ML_ENG_CM_00014","some days i talk to this engine more than i talked to my wife. she'd understand"
"GR_ML_ENG_CM_00015","[DEADPAN] i give it a week before something else breaks. i'm an optimist"
"GR_ML_ENG_CM_00016","quiet shift. i don't trust quiet shifts"
"GR_ML_ENG_CM_00017","[SIGHS] nothing to fix and nothing to fear. i'll take it while it lasts"
"GR_ML_ENG_CM_00018","used to hate the quiet. now i know it's just the ship holding its breath"
"GR_ML_ENG_CM_00019","food's the same as yesterday. i'm not complaining, i'm just noting it"
"GR_ML_ENG_CM_00020","eat while it's hot. learned that lesson the hard way more than once"
"GR_ML_ENG_CM_00021","shift's starting. bones say get up anyway"
"GR_ML_ENG_CM_00022","[TIRED] shift's over. everything's still standing. i'll call that a win"
"GR_ML_ENG_CM_00023","another shift down. body's collecting interest on all of them"
"GR_ML_ENG_CM_00024","[MUTTERS] all right, all right, i'm up. hold your horses"
"GR_ML_ENG_CM_00025","[GRIM] reactor's hot again. i don't like the way it's hot"
"GR_ML_ENG_CM_00026","[URGENT] she's going critical if i don't get in there now"
"GR_ML_ENG_CM_00027","[TERRIFIED] core's screaming and my hands won't stop shaking"
"GR_ML_ENG_CM_00028","[EXHAUSTED] patched the reactor. don't ask me how, i already forgot"
"GR_ML_ENG_CM_00029","[GRUFF] power's low and everyone wants answers i don't have yet"
"GR_ML_ENG_CM_00030","[TIRED] rerouted what i could. we're running on fumes and stubbornness"
"GR_ML_ENG_CM_00031","[GRIM] life support's coughing. that's not a sound it should make"
"GR_ML_ENG_CM_00032","[NERVOUS] scrubbers are choking. i've got maybe an hour before it's everyone's problem"
"GR_ML_ENG_CM_00033","[PANICKED] can't breathe right, air's going, i need more time i don't have"
"GR_ML_ENG_CM_00034","[GRIM] hull's breached. i can hear the whole ship complaining about it"
"GR_ML_ENG_CM_00035","[URGENT] seal's not holding, i need hands on this bulkhead now"
"GR_ML_ENG_CM_00036","[TERRIFIED] that's vacuum on the other side of a door i patched last year"
"GR_ML_ENG_CM_00037","[GRIM] door's locked with someone still behind it. i hate this job some days"
"GR_ML_ENG_CM_00038","[PAINED] locked a door on one of ours. that's gonna sit with me a while"
"GR_ML_ENG_CM_00039","[SUSPICIOUS] computer's acting strange since the damage. i'm keeping an eye on it"
"GR_ML_ENG_CM_00040","[GRIM] tin ears took a hit. hope whatever's left of it still knows which way is up"
"GR_ML_ENG_CM_00041","[TIRED] fixed it. don't ask me to explain it twice, i only had it right once"
"GR_ML_ENG_CM_00042","[PROUD] she's running clean. that's mine, that repair, i'll take the credit today"
"GR_ML_ENG_CM_00043","[SIGHS] crisis is over. body doesn't believe it yet"
"GR_ML_ENG_CM_00044","[RESIGNED] we made it through another one. didn't lose anyone this time. i'll take that"
"GR_ML_ENG_CM_00045","[GRIM] we lost someone today. wasn't supposed to be part of the job, remembering the ones who go"
"GR_ML_ENG_CM_00046","[PAINED] that's four now. four crew i've watched a ship take from me"
"GR_ML_ENG_CM_00047","[GRIM] disease going through a ship this size. i've seen what that does to a crew"
"GR_ML_ENG_CM_00048","[NERVOUS] sick bay's full and getting fuller. don't like those numbers"
"GR_ML_ENG_CM_00049","[PAINED] this arm's not gonna forgive me for that one"
"GR_ML_ENG_CM_00050","[GRIM] took a hit i shouldn't have. slower than i used to be"
"GR_ML_ENG_CM_00051","[GRUFF] combat's a young man's game. i'm just here to keep the ship in one piece"
"GR_ML_ENG_CM_00052","[TERRIFIED] shooting outside the hull. that's a new one, even for me"
"GR_ML_ENG_CM_00053","[SUSPICIOUS] that computer answers too fast sometimes. machines shouldn't be eager"
"GR_ML_ENG_CM_00054","[DRY] i don't trust anything that never gets tired. i'm tired all the time, seems safer"
"GR_ML_ENG_CM_00055","[RESIGNED] gotta hand it to the computer, that call kept us alive"
"GR_ML_ENG_CM_00056","[DRY] computer's earned its keep this week. don't let it hear me say that"
"GR_ML_ENG_CM_00057","half my joints are held together with spite at this point"
"GR_ML_ENG_CM_00058","[PROUD] kept four ships running past their warranty. that's not nothing"
"GR_ML_ENG_CM_00059","wonder what Marguerite would think of this crew. probably tell me to eat something"
"GR_ML_ENG_CM_00060","[SIGHS] used to have someone waiting at the other end of a run. long time ago now"
"GR_ML_ENG_CM_00061","[GRIM] not sure this bucket makes it to the next port, if i'm honest with myself"
"GR_ML_ENG_CM_00062","[MUTTERS] doubt creeps in on the long shifts. that's when you gotta keep your hands busy"
"GR_ML_ENG_CM_00063","[WARM] Roz'd have this fixed twice as fast and never let me forget it"
"GR_ML_ENG_CM_00064","[EMBARRASSED] caught myself grinning at something Roz said. old fool"
"GR_ML_ENG_CM_00065","she calls this ship a mule. i call it a headache. we're both right"
"GR_ML_ENG_CM_00066","[LAUGHS] Roz swore at that bulkhead like it owed her money. respect"
"GR_ML_ENG_CM_00067","[GRUFF] captain runs this ship like she's storming a beach. works, somehow"
"GR_ML_ENG_CM_00068","young captain's got more nerve than sense. reminds me of me, before i had sense either"
"GR_ML_ENG_CM_00069","[RESIGNED] shouldn't have snapped at the kid earlier. wasn't his fault the coupling failed"
"GR_ML_ENG_CM_00070","owe someone an apology and too stubborn to give it before dinner"
"GR_ML_ENG_CM_00071","[GRUFF] insurance forms are worse than the actual disaster they're covering"
"GR_ML_ENG_CM_00072","paperwork's the only part of this job that's never once been fixed by a wrench"
"GR_ML_ENG_CM_00073","[DEADPAN] yeah, yeah, i heard you the first time"
"GR_ML_ENG_CM_00074","noted. filed. ignored until it's urgent, same as always"
"GR_ML_ENG_CM_00075","morning. or whatever hour it is out there"
"GR_ML_ENG_CM_00076","[GRUFF] you're up early. or i'm up late. one of those"
"GR_ML_ENG_CM_00077","didn't expect company down here"
"GR_ML_ENG_CM_00078","you eating or just hiding from the bridge"
"GR_ML_ENG_CM_00079","got a minute? engine's got opinions today"
"GR_ML_ENG_CM_00080","[DRY] you look like you slept as well as i did. which is not at all"
"GR_ML_ENG_CM_00081","heard the scuttlebutt about the reactor yet, or am i telling you first"
"GR_ML_ENG_CM_00082","[GRIM] we need to talk about the sick bay numbers"
"GR_ML_ENG_CM_00083","[URGENT] captain, i need hands and i need them now"
"GR_ML_ENG_CM_00084","you got a second to look at something that's bothering me"
"GR_ML_ENG_CM_00085","[WARM] saved you the good coffee. don't make a thing of it"
"GR_ML_ENG_CM_00086","Roz, that noise you heard yesterday, i found it"
"GR_ML_ENG_CM_00087","[DRY] captain, before you ask, yes, it's fixed, no, i don't want to talk about how"
"GR_ML_ENG_CM_00088","[GRIM] got some bad news and i'd rather just say it plain"
"GR_ML_ENG_CM_00089","[SUSPICIOUS] something's off with the computer. you noticed too, right"
"GR_ML_ENG_CM_00090","[PAINED] don't make a fuss, but i need someone to look at this cut"
"GR_ML_ENG_CM_00091","you ever miss dirt? real dirt, not deck grime"
"GR_ML_ENG_CM_00092","[GRUFF] quiet down here today. suspiciously quiet"
"GR_ML_ENG_CM_00093","hey. you handled that all right today. wanted to say it before i forgot"
"GR_ML_ENG_CM_00094","[EMBARRASSED] can i ask you something, and you don't laugh"
"GR_ML_ENG_CM_00095","[FLIRTY] you gonna keep flirting with that bulkhead or you got time for me"
"GR_ML_ENG_CM_00096","captain. good work back there. don't let it go to your head"
"GR_ML_ENG_CM_00097","[DEADPAN] before you ask, no, i did not touch your tools. i moved them. different thing"
"GR_ML_ENG_CM_00098","you good? you've had that look since the shift started"
"GR_ML_ENG_CM_00099","[GRUFF] fine. i'm fine. ask me again after coffee"
"GR_ML_ENG_CM_00100","[TIRED] been better, been worse. usual spread"
"GR_ML_ENG_CM_00101","[DRY] i'm upright and the reactor isn't on fire. good day so far"
"GR_ML_ENG_CM_00102","morning to you too. don't expect it to stay pleasant"
"GR_ML_ENG_CM_00103","[MUTTERS] mess hall's the same slop, if you're asking"
"GR_ML_ENG_CM_00104","engine's holding. for now. don't quote me on tomorrow"
"GR_ML_ENG_CM_00105","[GRIM] worse than i said the first time. reactor's not stable, not yet"
"GR_ML_ENG_CM_00106","[URGENT] i need another set of hands or this doesn't hold"
